Database: mbFirstStudy
Exercise: 6
Age classes: [2,11], [12,21], [22,31], [32,41], [42,51], [52,61], [62,71], [72,81], 
Gender: -
Dominant hand: -
Session hand: -

userID;gender;dominantHand;age
MB_AC_18_4436ef71;donna;destra;24

MB_AC_19_0c7f4c9b;donna;destra;21

MB_AC_14_de6ffdb3;uomo;destra;56

MB_AC_15_2b6a8793;donna;destra;54

MB_AC_16_ffae5082;donna;destra;18

MB_AC_20_609099a8;donna;destra;50

userID;sessionID;repetitionID;screenWidth;screenHeight;x1;y1;x2;y2;x3;y3;x4;y4;margin;meanReactionTime;accuracy;totTaps
MB_SZ_13_f740dde9;00cec719fd15ba289d2764183b7ef463;1;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5247056;0.6666667;18
MB_SZ_13_f740dde9;00cec719fd15ba289d2764183b7ef463;2;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5366313;0.7222222;18
MB_SZ_13_f740dde9;00cec719fd15ba289d2764183b7ef463;3;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5058497;0.6105263;19
MB_AM_17_b407c819;00fc8864236c033c994040824e3ef484;1;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5592113;0.7882353;17
MB_AM_17_b407c819;00fc8864236c033c994040824e3ef484;2;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5733894;0.9647059;17
MB_AM_17_b407c819;00fc8864236c033c994040824e3ef484;3;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5880623;0.8875;16
MB_SA_24_9e8269a8;0136438ba3ff0727d9865b81b6ebab38;1;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.5979576;0.9625;16
MB_SA_24_9e8269a8;0136438ba3ff0727d9865b81b6ebab38;2;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.6497233;0.88;15
MB_SA_24_9e8269a8;0136438ba3ff0727d9865b81b6ebab38;3;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.6658;0.96;15
MB_AC_10_e7d887f9;023e2db1a933f8f6e4a394fb84dc7574;1;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.5203857;0.6631579;19
MB_AC_10_e7d887f9;023e2db1a933f8f6e4a394fb84dc7574;2;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.5334337;0.7222222;18
MB_AC_10_e7d887f9;023e2db1a933f8f6e4a394fb84dc7574;3;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.5474514;0.7;18
MB_AC_13_11294c06;02919c5b3755465b1c33fc82146221af;1;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4936706;0.46;20
MB_AC_13_11294c06;02919c5b3755465b1c33fc82146221af;2;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4743317;0.58;20
MB_AC_13_11294c06;02919c5b3755465b1c33fc82146221af;3;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4753448;0.65;20
MB_AM_15_cf88de89;03da72912a1265b762d1821e8debf0db;1;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5001413;0.7473684;19
MB_AM_15_cf88de89;03da72912a1265b762d1821e8debf0db;2;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5091103;0.7473684;19
MB_AM_15_cf88de89;03da72912a1265b762d1821e8debf0db;3;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5225059;0.7157895;19
MB_SA_17_20a0fe15;03fca400a76b8fd9005fb2787e37747d;1;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.519814;0.9052632;19
MB_SA_17_20a0fe15;03fca400a76b8fd9005fb2787e37747d;2;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.4915192;0.66;20
MB_SA_17_20a0fe15;03fca400a76b8fd9005fb2787e37747d;3;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.4866516;0.79;20
MB_SZ_11_aa0acfad;04540e380ee23226cc1e0a3d7783c89b;1;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5943069;0.925;16
MB_SZ_11_aa0acfad;04540e380ee23226cc1e0a3d7783c89b;2;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5911942;0.925;16
MB_SZ_11_aa0acfad;04540e380ee23226cc1e0a3d7783c89b;3;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.572201;0.7529412;17
MB_SA_27_19b755b8;0572a7f7a48b9e3087810b9560832590;1;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.495856;0.8105263;19
MB_SA_27_19b755b8;0572a7f7a48b9e3087810b9560832590;2;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.479718;0.82;20
MB_SA_27_19b755b8;0572a7f7a48b9e3087810b9560832590;3;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.5646614;0.8235294;17
MB_AC_09_e249e7b1;073c2bac35a80f5ff2465eaa156ad7ec;1;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.5142052;0.8;19
MB_AC_09_e249e7b1;073c2bac35a80f5ff2465eaa156ad7ec;2;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4998657;0.91;20
MB_AC_09_e249e7b1;073c2bac35a80f5ff2465eaa156ad7ec;3;1080;1776;290.1676;1137.832;789.8324;1137.832;789.8324;638.1677;290.1676;638.1677;33.31099;0.4868591;0.91;20
MB_AM_12_4dc34657;08263ceaa75e0825f2de77332d22189a;1;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.4334703;0.8434783;23
MB_AM_12_4dc34657;08263ceaa75e0825f2de77332d22189a;2;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.4290559;0.7913043;23
MB_AM_12_4dc34657;08263ceaa75e0825f2de77332d22189a;3;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.4320015;0.7913043;23
MB_SA_18_406bf9ad;0c4a51615bdb97b536aa38b3023c0564;1;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.5702873;0.9294118;17
MB_SA_18_406bf9ad;0c4a51615bdb97b536aa38b3023c0564;2;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.6082458;0.8875;16
